Player Count,LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
5,T. Harris - J. Embiid - D. House Jr. - D. Melton - S. Milton,PHI,4,18,97.4,116.3,-18.8,64.3,2.25,18.8,0,50,28.9,0.1,50,54,107.36,38
5,P. Tucker - T. Harris - J. Embiid - S. Milton - M. Thybulle,PHI,4,17,113.2,91.9,21.3,52.6,2.5,19.6,21.4,75,52.9,0.1,60.6,61.1,107.25,65.2
5,J. Embiid - G. Niang - D. House Jr. - S. Milton - T. Maxey,PHI,4,14,134.5,103.2,31.3,69.2,9,23.7,0,60,36,0,68.2,71.5,99.54,64.8
5,M. Harrell - G. Niang - D. Melton - S. Milton - T. Maxey,PHI,4,13,111.8,68.8,43,53.3,4,17.4,23.5,75,51.4,0.1,53.2,56.5,120.3,73.8
5,P. Tucker - J. Harden - T. Harris - D. Melton - M. Thybulle,PHI,4,13,96.3,124,-27.7,60,2,17.6,8.3,83.3,33.3,0.1,52.4,54,93.66,36.8
5,M. Harrell - G. Niang - F. Korkmaz - D. House Jr. - S. Milton,PHI,4,12,77.8,82.8,-5,75,1.2,15.4,37.5,57.9,48.6,0.2,40.9,42.6,109.55,52.5
5,J. Harden - M. Harrell - G. Niang - D. House Jr. - D. Melton,PHI,4,10,131.8,104.8,27.1,83.3,0,18.5,0,85.7,37.5,0,53.3,67.1,108.31,68.7
5,P. Tucker - J. Harden - J. Embiid - D. Melton - M. Thybulle,PHI,4,10,105.3,140,-34.7,50,3,13,9.1,66.7,29.4,0.1,53.6,60.1,96.68,35.9
5,P. Tucker - J. Harden - J. Embiid - G. Niang - S. Milton,PHI,4,8,37.5,89.5,-52,100,0.67,9.5,25,88.9,52.4,0.2,15.4,20.3,104.56,-28.6
5,J. Harden - J. Embiid - D. Melton - S. Milton - T. Maxey,PHI,4,7,109.5,117.6,-8.1,71.4,0,18.5,12.5,66.7,35.7,0,56.7,65.2,125.45,55.1
5,M. Harrell - G. Niang - D. House Jr. - D. Melton - S. Milton,PHI,4,7,92.9,64.3,28.6,80,1.33,22.2,0,53.3,44.4,0.2,68.8,66.6,94.87,100
5,J. Embiid - G. Niang - F. Korkmaz - D. House Jr. - D. Melton,PHI,4,6,120,33.3,86.7,83.3,5,22.7,33.3,100,73.3,0.1,50,58,112.5,138.9
5,J. Harden - T. Harris - J. Embiid - M. Thybulle - T. Maxey,PHI,4,6,85.7,76.9,8.8,50,1,6.3,14.3,100,50,0.1,22.2,47.9,102.05,60.5
5,J. Harden - T. Harris - M. Harrell - S. Milton - M. Thybulle,PHI,4,6,114.3,61.5,52.7,66.7,1.33,20,40,54.5,50,0.2,70,68,112.05,126.1
5,J. Embiid - G. Niang - D. Melton - J. McDaniels - T. Maxey,PHI,4,5,91.7,75,16.7,66.7,0.67,13.3,33.3,50,44.4,0.3,70,72,118.64,90.9
5,P. Tucker - J. Harden - T. Harris - D. Melton - P. Reed,PHI,4,5,70,141.7,-71.7,66.7,1,15.4,25,40,33.3,0.2,50,50,109.96,23.9
5,J. Harden - J. Embiid - G. Niang - M. Thybulle - T. Maxey,PHI,4,4,62.5,145.5,-83,0,0,0,40,60,50,0.3,16.7,32.2,104.83,-14.3
5,P. Tucker - J. Harden - T. Harris - M. Harrell - S. Milton,PHI,4,4,114.3,66.7,47.6,50,0,12.5,0,40,25,0,50,63.3,90.35,84.6
5,J. Harden - J. Embiid - G. Niang - D. Melton - M. Thybulle,PHI,4,3,100,57.1,42.9,0,0,0,60,66.7,62.5,0.1,28.6,45.7,106.93,76.9
5,T. Harris - G. Niang - D. House Jr. - S. Milton - P. Reed,PHI,4,3,25,175,-150,100,1,10,16.7,50,25,0.1,14.3,14.3,144.91,-38.7
5,J. Harden - T. Harris - G. Niang - S. Milton - T. Maxey,PHI,4,2,171.4,40,131.4,50,1,22.2,0,20,16.7,0.3,100,102,125.04,142.9
5,P. Tucker - T. Harris - M. Harrell - D. Melton - T. Maxey,PHI,3,32,126.2,126.2,-0.1,68.8,3.67,21.6,41.7,76.9,56.5,0.1,55.9,57.7,93.48,50.2
5,P. Tucker - J. Embiid - D. House Jr. - D. Melton - T. Maxey,PHI,3,15,93.3,122.6,-29.2,50,1.67,13.2,17.6,66.7,37.9,0.1,48.1,48.9,96.08,32.1
5,J. Harden - M. Harrell - G. Niang - D. House Jr. - M. Thybulle,PHI,3,12,103.7,61.5,42.2,66.7,0.86,17.6,11.1,75,55.2,0.3,61.8,66.8,107.19,78.6
5,M. Harrell - G. Niang - D. Melton - S. Milton - M. Thybulle,PHI,3,12,96.7,100,-3.3,58.3,1.4,17.5,21.4,69.2,44.4,0.2,58,58,120.15,44.7
5,T. Harris - D. House Jr. - S. Milton - T. Maxey - P. Reed,PHI,3,12,136,91.7,44.3,61.5,2.67,23.5,12.5,75,43.8,0.1,66.7,71.9,99.38,76.2
5,J. Embiid - G. Niang - D. House Jr. - S. Milton - M. Thybulle,PHI,3,10,130,47.4,82.6,80,4,28.6,0,87.5,50,0.1,68.8,73.2,94.39,104.6
5,P. Tucker - J. Harden - T. Harris - T. Maxey - P. Reed,PHI,3,10,105,140,-35,60,1.2,20.7,37.5,62.5,50,0.3,58.3,58.3,95.97,36.2
5,F. Korkmaz - D. House Jr. - S. Milton - M. Thybulle - P. Reed,PHI,3,9,80,161.9,-81.9,66.7,0.8,14.3,33.3,75,43.8,0.3,36.1,41.4,105.24,11.1
5,P. Tucker - M. Harrell - G. Niang - S. Milton - T. Maxey,PHI,3,9,57.9,160,-102.1,33.3,0.25,4.5,18.2,60,31.3,0.2,26.9,35.2,109.62,-16.7
5,G. Niang - D. House Jr. - S. Milton - T. Maxey - P. Reed,PHI,3,8,81.3,177.8,-96.5,50,0.67,10.5,12.5,100,36.4,0.2,37.5,45.8,105.06,0
5,J. Harden - J. Embiid - G. Niang - J. McDaniels - T. Maxey,PHI,3,8,158.8,146.7,12.2,50,3,13.6,33.3,80,54.5,0.1,72.7,80.7,96,58.7
5,J. Harden - T. Harris - M. Harrell - G. Niang - D. Melton,PHI,3,8,127.8,94.4,33.3,50,2.5,20.8,20,90,66.7,0.1,70,70.5,114.94,70.9
5,P. Tucker - J. Harden - T. Harris - D. House Jr. - T. Maxey,PHI,3,8,82.4,135.3,-52.9,75,1.5,12.5,30.8,80,44.4,0.1,32.4,37.3,104.17,11.7
5,J. Harden - G. Niang - D. House Jr. - D. Melton - P. Reed,PHI,3,7,133.3,107.7,25.6,66.7,4,25,0,66.7,36.4,0.1,68.2,69.9,91.14,56.9
5,J. Harden - T. Harris - S. Milton - T. Maxey - P. Reed,PHI,3,7,92.3,93.3,-1,40,0.5,11.1,42.9,87.5,66.7,0.3,50,50,98.82,33.3
5,P. Tucker - J. Harden - T. Harris - D. Melton - S. Milton,PHI,3,7,70.6,156.3,-85.7,25,0.33,4.8,27.3,50,33.3,0.2,30,36.8,106.43,-6.1
5,J. Embiid - G. Niang - F. Korkmaz - D. House Jr. - S. Milton,PHI,3,6,128.6,128.6,0,50,2,22.2,0,80,44.4,0.1,77.3,73.1,105.55,56.5
5,J. Harden - T. Harris - M. Harrell - D. House Jr. - D. Melton,PHI,3,6,107.1,76.9,30.2,20,1,5.6,33.3,54.5,45,0.1,42.9,49,100.21,76.7
5,M. Harrell - G. Niang - F. Korkmaz - S. Milton - M. Thybulle,PHI,3,6,157.1,158.3,-1.2,66.7,4,21.1,25,20,22.2,0.1,66.7,77,99.57,62.3
5,P. Tucker - J. Harden - J. Embiid - G. Niang - D. Melton,PHI,3,6,166.7,75,91.7,71.4,5,27.8,33.3,57.1,50,0.1,85,88.3,98.52,97.9
5,P. Tucker - J. Harden - M. Harrell - G. Niang - S. Milton,PHI,3,6,133.3,69.2,64.1,60,3,20,0,62.5,35.7,0.1,63.6,67.3,106.01,68.1
5,P. Tucker - J. Harden - T. Harris - D. House Jr. - D. Melton,PHI,3,6,87.5,60,27.5,40,0.5,10.5,16.7,50,35.7,0.3,55,59.5,115.47,95.2
5,P. Tucker - T. Harris - F. Korkmaz - S. Milton - P. Reed,PHI,3,6,116.7,107.7,9,60,0,17.6,25,75,50,0,42.3,48.9,94.49,51.8
5,T. Harris - S. Milton - M. Thybulle - T. Maxey - P. Reed,PHI,3,6,115.4,118.2,-2.8,50,3,16.7,28.6,25,27.3,0.1,59.1,56.8,98.88,46.8
5,J. Harden - J. Embiid - G. Niang - S. Milton - T. Maxey,PHI,3,5,91.7,130,-38.3,100,1.25,27.8,25,75,50,0.3,61.1,58.3,108.87,37.5
5,J. Harden - T. Harris - J. Embiid - D. House Jr. - D. Melton,PHI,3,5,133.3,90,43.3,50,1,8.3,40,75,55.6,0.1,50,66.1,98.38,52.6
5,P. Tucker - J. Harden - T. Harris - J. Embiid - D. House Jr.,PHI,3,5,77.8,90,-12.2,33.3,0.33,9.1,33.3,50,45.5,0.3,58.3,58.3,101.11,28.6
5,P. Tucker - J. Embiid - G. Niang - D. Melton - T. Maxey,PHI,3,4,25,166.7,-141.7,0,0,0,20,33.3,25,0.1,0,17.4,83.93,-47.4
5,P. Tucker - T. Harris - F. Korkmaz - D. Melton - P. Reed,PHI,3,4,110,63.6,46.4,0,0,0,40,100,66.7,0,55,55,115.86,70.3
5,T. Harris - F. Korkmaz - D. House Jr. - S. Milton - P. Reed,PHI,3,4,75,122.2,-47.2,100,0.67,18.2,33.3,66.7,50,0.4,60,60,114.93,7.7
5,J. Harden - T. Harris - M. Harrell - S. Milton - T. Maxey,PHI,3,3,75,71.4,3.6,33.3,1,11.1,0,100,60,0.1,60,60,108.54,77.8
5,P. Tucker - G. Niang - F. Korkmaz - D. Melton - P. Reed,PHI,3,3,83.3,160,-76.7,100,1,22.2,33.3,0,33.3,0.3,50,50,97.78,0
5,J. Harden - T. Harris - D. Melton - S. Milton - P. Reed,PHI,3,2,100,0,100,50,0.5,11.1,100,0,80,0.5,33.3,33.3,86.15,-33.3
5,J. Harden - T. Harris - G. Niang - D. Melton - P. Reed,PHI,3,2,100,66.7,33.3,100,1,20,0,33.3,33.3,0.3,100,106.4,105.11,92.9
5,J. Harden - T. Harris - J. Embiid - S. Milton - T. Maxey,PHI,3,2,120,0,120,100,2,25,50,100,66.7,0.2,50,61.5,103.78,250
5,P. Tucker - J. Embiid - D. House Jr. - D. Melton - M. Thybulle,PHI,3,2,125,50,75,50,1,20,0,0,0,0.3,125,125,106.35,400
5,T. Harris - M. Harrell - S. Milton - M. Thybulle - T. Maxey,PHI,3,2,0,160,-160,0,0,0,0,0,0,0,0,0,121.93,-61.5
5,P. Tucker - J. Embiid - D. House Jr. - D. Melton - S. Milton,PHI,2,17,88.9,84.2,4.7,72.7,1.33,17.4,11.1,90,52.6,0.2,46.4,51.5,106.99,54.1
5,P. Tucker - J. Harden - T. Harris - J. Embiid - M. Thybulle,PHI,2,14,103.2,77.4,25.8,90,1.5,22,10,82.4,55.6,0.2,60.5,64.7,110.13,64.9
5,T. Harris - J. Embiid - D. Melton - S. Milton - M. Thybulle,PHI,2,14,169,71,98,63.2,12,27.3,30,78.6,58.3,0,75.9,78.5,101.17,98.2
5,M. Harrell - G. Niang - D. House Jr. - S. Milton - T. Maxey,PHI,2,13,127.6,124.1,3.4,50,1.2,15.8,30,70,50,0.2,68.2,72.5,105.99,45.4
5,P. Tucker - J. Harden - T. Harris - G. Niang - T. Maxey,PHI,2,10,94.7,121.1,-26.3,57.1,4,16,18.2,50,31.6,0.1,50,50,90.15,30
5,M. Harrell - G. Niang - D. House Jr. - M. Thybulle - T. Maxey,PHI,2,9,161.1,138.9,22.2,72.7,8,29.6,28.6,66.7,50,0.1,80.6,80.6,96.92,56.1
5,F. Korkmaz - S. Milton - M. Thybulle - P. Reed - J. Springer,PHI,2,8,50,130.8,-80.8,100,2,11.1,18.2,60,38.1,0.1,25,27.2,85.83,5.4
5,J. Harden - D. House Jr. - S. Milton - J. McDaniels - P. Reed,PHI,2,8,94.7,94.4,0.3,83.3,5,20,11.1,100,55.6,0.1,46.7,53.7,104.88,57.4
5,J. Harden - T. Harris - G. Niang - S. Milton - P. Reed,PHI,2,7,120,133.3,-13.3,25,0.5,10,50,83.3,66.7,0.3,60.7,62.3,96.21,34.8
5,P. Tucker - T. Harris - M. Harrell - S. Milton - T. Maxey,PHI,2,7,100,123.1,-23.1,50,1,11.1,37.5,100,61.5,0.2,37.5,45.8,93.83,29.3
5,J. Embiid - G. Niang - D. Melton - S. Milton - J. McDaniels,PHI,2,6,84.6,75,9.6,75,1.5,18.8,0,75,50,0.2,64.3,66.1,105.26,85.7
5,J. Harden - G. Niang - D. House Jr. - S. Milton - P. Reed,PHI,2,6,131.3,100,31.3,85.7,3,25,25,71.4,46.7,0.1,65.4,65.3,120.94,61.1
5,J. Harden - J. Embiid - G. Niang - D. House Jr. - D. Melton,PHI,2,6,160,83.3,76.7,100,0,33.3,40,75,55.6,0,63.6,67.3,88.99,76.4
5,J. Harden - M. Harrell - S. Milton - M. Thybulle - T. Maxey,PHI,2,6,140,141.7,-1.7,0,0,0,33.3,100,55.6,0,59.1,58.9,90.77,34
5,J. Harden - T. Harris - J. Embiid - G. Niang - S. Milton,PHI,2,6,168.8,114.3,54.5,75,6,26.1,20,100,50,0.1,80.8,84,129.73,71.1
5,J. Harden - T. Harris - M. Thybulle - T. Maxey - P. Reed,PHI,2,6,100,100,0,60,0,15.8,40,83.3,56.3,0,39.3,39.2,92.57,37.5
5,T. Harris - G. Niang - F. Korkmaz - D. Melton - P. Reed,PHI,2,6,78.6,142.9,-64.3,60,3,17.6,0,80,36.4,0.1,50,50,103.52,26.1
5,T. Harris - J. Embiid - F. Korkmaz - D. Melton - S. Milton,PHI,2,6,153.8,107.1,46.7,50,2,21.1,33.3,66.7,50,0.2,76.9,74.4,112.37,55.3
5,F. Korkmaz - D. House Jr. - M. Thybulle - P. Reed - J. Springer,PHI,2,5,61.5,150,-88.5,50,0.67,12.5,16.7,80,45.5,0.2,40,40,109.42,19.6
5,G. Niang - D. House Jr. - S. Milton - M. Thybulle - P. Reed,PHI,2,5,150,40,110,60,0,21.4,60,85.7,75,0,60,60,94.19,96.3
5,G. Niang - D. Melton - J. McDaniels - T. Maxey - P. Reed,PHI,2,5,122.2,118.2,4,66.7,1,16.7,33.3,50,44.4,0.2,66.7,75.1,96.32,46.3
5,J. Harden - J. Embiid - G. Niang - D. House Jr. - S. Milton,PHI,2,5,130,180,-50,60,0,21.4,20,66.7,45.5,0,72.2,68.9,93.81,38.7
5,J. Harden - S. Milton - J. McDaniels - T. Maxey - P. Reed,PHI,2,5,108.3,120,-11.7,100,1,18.8,50,66.7,60,0.3,80,85.1,98.66,48.6
5,J. Harden - T. Harris - M. Harrell - D. Melton - M. Thybulle,PHI,2,5,118.2,108.3,9.8,50,1,13.3,50,40,44.4,0.2,64.3,74.2,109.92,54.3
5,P. Tucker - J. Harden - J. Embiid - D. House Jr. - D. Melton,PHI,2,5,144.4,118.2,26.3,16.7,1,9.1,33.3,100,60,0.1,72.2,72.2,92.9,53.2
5,P. Tucker - M. Harrell - G. Niang - D. House Jr. - S. Milton,PHI,2,5,80,100,-20,0,0,0,0,60,33.3,0.2,60,52.4,108.78,8
5,P. Tucker - T. Harris - G. Niang - D. Melton - S. Milton,PHI,2,5,145.5,130,15.5,66.7,4,26.7,0,100,33.3,0.1,75,76.6,104.78,57.1
5,T. Harris - G. Niang - S. Milton - M. Thybulle - P. Reed,PHI,2,5,108.3,100,8.3,75,0,20,0,50,20,0,45,55.3,115.62,63.2
5,T. Harris - J. Embiid - D. Melton - J. McDaniels - T. Maxey,PHI,2,5,80,120,-40,75,0.75,15,77.8,100,84.6,0.4,30.8,30.8,93.51,-8.3
5,D. House Jr. - S. Milton - J. McDaniels - T. Maxey - P. Reed,PHI,2,4,125,137.5,-12.5,25,1,8.3,75,25,50,0.1,62.5,62.5,106.18,30.4
5,J. Harden - G. Niang - D. Melton - S. Milton - P. Reed,PHI,2,4,87.5,155.6,-68.1,33.3,1,8.3,42.9,100,50,0.1,35,35,103.73,-2.7
5,J. Harden - J. Embiid - G. Niang - S. Milton - M. Thybulle,PHI,2,4,75,80,-5,100,3,27.3,0,33.3,14.3,0.1,42.9,40.3,115.71,20.8
5,J. Harden - T. Harris - M. Harrell - D. House Jr. - S. Milton,PHI,2,4,70,122.2,-52.2,100,3,23.1,0,50,22.2,0.1,50,50,127.85,24.3
5,M. Harrell - F. Korkmaz - S. Milton - M. Thybulle - P. Reed,PHI,2,4,130,50,80,75,1.5,20,50,100,66.7,0.2,57.1,64.5,119.86,109.1
5,P. Tucker - J. Harden - M. Harrell - D. House Jr. - D. Melton,PHI,2,4,125,214.3,-89.3,33.3,0,11.1,0,100,25,0,70,79.1,93.91,33.3
5,P. Tucker - J. Harden - T. Harris - J. McDaniels - T. Maxey,PHI,2,4,133.3,100,33.3,50,0,14.3,42.9,100,60,0,36.4,47,113.53,50
